1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Algunas veces,Siempre,Siempre,Algunas veces,Nunca,Algunas veces,Siempre,Siempre,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Con frecuencia,Algunas veces,Con frecuencia,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Nunca,Con frecuencia,Nunca,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Siempre,Nunca,Algunas veces,Algunas veces,Con frecuencia,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre
Nunca,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Con frecuencia,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Nunca,Con frecuencia,Nunca,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Siempre,Nunca,Algunas veces,Algunas veces,Con frecuencia,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre
Siempre,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Con frecuencia,Con frecuencia
Siempre,Siempre,Nunca,Algunas veces,Algunas veces,Con frecuencia,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre
Nunca,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Con frecuencia,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Nunca,Con frecuencia,Nunca,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Siempre,Nunca,Algunas veces,Algunas veces,Con frecuencia,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre
Nunca,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Con frecuencia,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Nunca,Con frecuencia,Nunca,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Siempre,Nunca,Algunas veces,Algunas veces,Con frecuencia,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre,Con frecuencia,Siempre,Siempre,Siempre,Siempre
Nunca,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Algunas veces,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Con frecuencia,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Nunca,Con frecuencia,Nunca,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Con frecuencia,Siempre,Algunas veces,Con frecuencia,Siempre,Con frecuencia
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
Siempre,Con frecuencia,Algunas veces,Siempre,Algunas veces,Siempre,Algunas veces,Siempre,Siempre,Siempre,Con frecuencia,Con frecuencia,Con frecuencia,Siempre,Siempre,Algunas veces,Algunas veces
